iter	RMSE
0	1847.706769
1	1725.59559
2	1619.875108
3	1528.885984
4	1449.503521
5	1381.9394
6	1324.525416
7	1275.859104
8	1234.517988
9	1200.17841
10	1171.695625
11	1147.791831
12	1128.476014
13	1111.408771
14	1097.534351
15	1087.093188
16	1077.447818
17	1068.745293
18	1061.51119
19	1055.778744
20	1051.437171
21	1047.509635
22	1043.98623
23	1040.957334
24	1038.344517
25	1036.264896
26	1034.902985
27	1033.033596
28	1031.557517
29	1030.510523
30	1029.174035
31	1028.407822
32	1027.375265
33	1026.362867
34	1025.264976
35	1024.544314
36	1023.586563
37	1022.825556
38	1021.888054
39	1020.896161
40	1020.28793
41	1019.772927
42	1019.097457
43	1018.307014
44	1017.928857
45	1017.420617
46	1016.954728
47	1016.472151
48	1015.992955
49	1015.533503
50	1015.212716
51	1014.53432
52	1013.900138
53	1013.466772
54	1012.979596
55	1012.699573
56	1011.965194
57	1011.55099
58	1011.272823
59	1010.878639
60	1010.599882
61	1010.293607
62	1010.112312
63	1009.69563
64	1009.31575
65	1008.819582
66	1008.546784
67	1008.181446
68	1007.909095
69	1007.274691
70	1007.23213
71	1006.809222
72	1006.799105
73	1006.557596
74	1006.548218
75	1006.016559
76	1005.602068
77	1005.292064
78	1004.771787
79	1004.486355
80	1003.995969
81	1003.753665
82	1003.552165
83	1003.228608
84	1002.931927
85	1002.724625
86	1002.230569
87	1001.872809
88	1001.663162
89	1001.31096
90	1001.150983
91	1000.910106
92	1000.63794
93	1000.135068
94	999.9003529
95	999.6246172
96	999.4497826
97	999.0402001
98	998.6432296
99	998.0992252
