iter	Passed	Remaining
0	20	1981
1	51	2524
2	61	1989
3	72	1733
4	86	1648
5	99	1557
6	110	1469
7	123	1422
8	135	1367
9	146	1317
10	156	1264
11	168	1237
12	180	1207
13	190	1172
14	202	1146
15	213	1122
16	222	1084
17	233	1062
18	244	1043
19	255	1020
20	267	1004
21	277	983
22	286	957
23	297	940
24	308	926
25	318	906
26	329	891
27	339	873
28	350	858
29	363	848
30	376	839
31	385	818
32	396	805
33	408	793
34	417	775
35	430	765
36	442	753
37	453	739
38	463	725
39	475	712
40	484	696
41	495	684
42	507	672
43	515	656
44	527	644
45	538	632
46	547	617
47	558	604
48	567	590
49	577	577
50	588	565
51	599	553
52	608	539
53	621	529
54	631	516
55	642	504
56	653	492
57	661	479
58	673	467
59	683	455
60	691	442
61	702	430
62	711	417
63	721	405
64	732	394
65	742	382
66	753	370
67	764	359
68	772	346
69	783	335
70	788	322
71	799	310
72	803	297
73	813	285
74	817	272
75	827	261
76	837	250
77	845	238
78	854	227
79	866	216
80	876	205
81	885	194
82	896	183
83	905	172
84	917	161
85	927	150
86	935	139
87	946	129
88	955	118
89	967	107
90	978	96
91	988	85
92	998	75
93	1009	64
94	1017	53
95	1027	42
96	1038	32
97	1050	21
98	1062	10
99	1075	0
