iter	Passed	Remaining
0	7	725
1	15	756
2	22	718
3	27	648
4	34	658
5	40	641
6	48	638
7	54	627
8	61	618
9	68	620
10	75	607
11	81	601
12	87	588
13	94	581
14	101	572
15	107	562
16	113	554
17	119	543
18	126	537
19	133	535
20	139	525
21	146	518
22	151	507
23	157	499
24	163	491
25	169	481
26	175	475
27	181	466
28	187	458
29	194	453
30	200	445
31	207	440
32	212	432
33	218	423
34	224	416
35	229	408
36	235	400
37	241	393
38	246	385
39	251	376
40	257	370
41	262	362
42	267	354
43	273	348
44	278	340
45	283	332
46	289	326
47	295	319
48	300	312
49	307	307
50	313	300
51	320	295
52	325	288
53	330	281
54	336	275
55	341	268
56	346	261
57	352	255
58	358	248
59	363	242
60	369	236
61	375	230
62	380	223
63	387	218
64	394	212
65	401	206
66	406	200
67	411	193
68	417	187
69	422	181
70	425	173
71	431	167
72	434	160
73	439	154
74	441	147
75	446	140
76	452	135
77	456	128
78	461	122
79	468	117
80	473	111
81	479	105
82	485	99
83	490	93
84	496	87
85	501	81
86	507	75
87	513	70
88	519	64
89	524	58
90	531	52
91	536	46
92	542	40
93	549	35
94	554	29
95	562	23
96	568	17
97	574	11
98	580	5
99	587	0
